Epoch,Disc LR,D per G,Disc Loss,Real Guess,Real Quant,Fake Guess,Fake Quant,Phase
0,4e-05,2,0.8114082916577657,0.6705194336175918,0.4084136188030243,0.3318615782260894,0.4300259053707123,1
1,4e-05,2,0.7106702029705048,0.7389867034825411,0.7045630216598511,0.3325547183101827,0.2968710064888,1
2,4e-05,2,0.6801587027661941,0.7461778661784004,0.7160549759864807,0.3173696679227492,0.2684822380542755,1
3,4e-05,2,0.8144727209035088,0.7485020055490381,0.7190990447998047,0.3960648126461926,0.4923573732376098,1
4,4e-05,2,0.8111035932194103,0.7326580954320503,0.731315553188324,0.3750881354014079,0.2962436079978943,1
5,4e-05,2,0.6650316076619285,0.7493016506944384,0.7190431952476501,0.3078462545360838,0.2649803459644317,1
6,4e-05,2,0.6881636679172516,0.7642192840576172,0.7049478888511658,0.3423805832862854,0.4763143062591553,1
7,4e-05,2,0.6523090624495557,0.7446796956815218,0.7140459418296814,0.2906386526791673,0.2647998034954071,1
8,4e-05,2,0.6145741492509842,0.7728669047355652,0.7122101783752441,0.2996463999152183,0.3691211640834808,1
9,4e-05,2,0.6631842385167661,0.7320527563924375,0.7024242877960205,0.286987617611885,0.3096554279327392,1
10,4e-05,1,0.5053331007560095,0.7681836599395389,0.7540054321289062,0.2126667847235997,0.2333392053842544,1
11,4e-05,1,0.71219801902771,0.7997633218765259,0.7517271637916565,0.3844566345214844,0.4034306704998016,1
12,4e-05,1,0.5296368364323961,0.7718958004992059,0.7571810483932495,0.227399746471263,0.2263305187225341,1
13,4e-05,1,0.4684235652287801,0.8071344892183939,0.7514371275901794,0.224092294772466,0.2683996558189392,1
14,4e-05,1,0.6876673102378845,0.8135278820991516,0.7758764624595642,0.3820157051086426,0.4961472153663635,1
15,4e-05,1,0.6968096494674683,0.8073965311050415,0.7630453109741211,0.3829895555973053,0.4979192912578583,1
16,4e-05,1,0.5355823696876059,0.7714701526019038,0.7575636506080627,0.228984923082955,0.2415439784526825,1
17,4e-05,1,0.4449367920557658,0.7949836403131485,0.7608237266540527,0.1933534865578015,0.3530863523483276,1
18,4e-05,1,0.4786892384290695,0.7908839583396912,0.758237361907959,0.2156868912279606,0.2772234380245209,1
19,4e-05,1,0.4166380057209416,0.8037790718831515,0.7707949876785278,0.1796067302164278,0.3238673210144043,1
20,4e-05,1,0.4093761593103409,0.8116577863693237,0.7503581047058105,0.1817025691270828,0.2389955371618271,1
21,4e-05,1,0.4146088063716888,0.824805736541748,0.7667426466941833,0.1990857720375061,0.3062849938869476,1
22,4e-05,1,0.4190502166748047,0.7989463760302618,0.7588372230529785,0.1762452721595764,0.261154443025589,1
23,4e-05,1,0.4132106006145477,0.8094440698623657,0.7531270384788513,0.1826063320040702,0.2278653979301452,1
24,4e-05,1,0.4222274314273487,0.8080143115737222,0.7559679746627808,0.1880766370079734,0.2776381969451904,1
25,4e-05,1,0.3874634206295013,0.8161950409412384,0.7617294192314148,0.1683137342333793,0.243405133485794,1
26,4e-05,1,0.4320995112260182,0.8090219100316366,0.7635641098022461,0.1972181449333826,0.3145078122615814,1
27,4e-05,1,0.4132060564082602,0.803419317888177,0.7526914477348328,0.17616710131583,0.2428120523691177,1
28,4e-05,1,0.4315796693166097,0.7972605427106222,0.7580180168151855,0.1850988765557607,0.322775661945343,1
29,4e-05,1,0.4126499444246292,0.7992210984230042,0.7674635052680969,0.1713795773684978,0.2509910762310028,1
30,4e-05,1,0.3958029704434531,0.8157688805035183,0.7598555684089661,0.1747426709958485,0.2584222555160522,1
31,4e-05,1,0.3987766206264496,0.8118345829156729,0.7511061429977417,0.1730458094523503,0.2843450307846069,1
32,4e-05,1,0.3843827694654464,0.8159764856100082,0.7586357593536377,0.1654493696987629,0.2456065863370895,1
33,4e-05,1,0.4014752507209778,0.8074418306350708,0.7610211968421936,0.1708484776318073,0.2563888728618622,1
34,4e-05,1,0.3848508775234222,0.8172626852989197,0.764729917049408,0.1671219676733017,0.2274852246046066,1
35,4e-05,1,0.4086950160562992,0.8021068796515465,0.7624559998512268,0.1710544489324093,0.2425848096609115,1
36,4e-05,1,0.433771401643753,0.8258978128433228,0.7603576183319092,0.2153261601924896,0.3634147942066192,1
37,4e-05,1,0.3999853432178497,0.8048902153968811,0.7638213038444519,0.1667503118515014,0.285107284784317,1
38,4e-05,1,0.4097431202729543,0.8193782766660055,0.7514849305152893,0.1893632858991623,0.4093382060527801,1
39,4e-05,1,0.3955822090307871,0.828754186630249,0.7582176923751831,0.1873278965552648,0.3918087780475616,1
40,4e-05,1,0.3738159835338592,0.8278469443321228,0.7593517303466797,0.1688034534454345,0.2622639834880829,1
41,4e-05,1,0.4020145498216152,0.809297002851963,0.7537752985954285,0.1732436642050743,0.2602532505989074,1
42,4e-05,1,0.435046265522639,0.8218856056531271,0.7792879939079285,0.212125817934672,0.4059744477272033,1
43,4e-05,1,0.4134638607501983,0.8132013281186422,0.7662509679794312,0.1862920622030894,0.3233356773853302,1
44,4e-05,1,0.4192160268624623,0.8026279966036479,0.7551976442337036,0.1796876589457194,0.2920867502689361,1
45,4e-05,1,0.4043037783015858,0.8046136986125599,0.7630458474159241,0.1701864925297823,0.3114494085311889,1
46,4e-05,1,0.3881633162498474,0.8189370632171631,0.7643020749092102,0.1714130103588104,0.2461935430765152,1
47,4e-05,1,0.3808467984199524,0.8140267531077067,0.761256217956543,0.1604460229476293,0.2301424443721771,1
48,4e-05,1,0.4028898403048515,0.8180830329656601,0.7630510926246643,0.1823053024709224,0.2319414168596267,1
49,4e-05,1,0.3797452747821808,0.8245648940404257,0.7693331241607666,0.1703507949908574,0.2643425762653351,1
50,4e-05,1,0.3653604984283447,0.8267205953598022,0.7563799619674683,0.1606033742427826,0.2312644273042678,1
51,4e-05,1,0.4099319449492863,0.8041911891528538,0.7709185481071472,0.1742469370365142,0.2903377115726471,1
52,4e-05,1,0.3639737516641617,0.8263083398342133,0.7575055956840515,0.1590184941887855,0.245720237493515,1
53,4e-05,1,0.3627718140681584,0.8210831085840861,0.7560548186302185,0.1526151870687802,0.2263018637895584,1
54,4e-05,1,0.4353846460580826,0.8220640420913696,0.7567744851112366,0.2129298001527786,0.3746938407421112,1
55,4e-05,1,0.3822708278894424,0.8198165893554688,0.7614993453025818,0.167682260274887,0.2671659588813782,1
56,4e-05,1,0.3419649600982666,0.8336659073829651,0.7645401358604431,0.1478923857212066,0.2462871074676513,1
57,4e-05,1,0.3743317574262619,0.8216007053852081,0.7538034915924072,0.1627434864640236,0.2848986983299255,1
58,4e-05,1,0.3678819338480631,0.8185756802558899,0.7751271724700928,0.154272307952245,0.2180720716714859,1
59,4e-05,1,0.458098828792572,0.8351215124130249,0.7763246893882751,0.2426431626081466,0.383061796426773,1
60,4e-05,1,0.4037194103002548,0.8241759538650513,0.7695469260215759,0.1896151676774025,0.3207032978534698,1
61,4e-05,1,0.4533848166465759,0.827263355255127,0.7502509951591492,0.2318364679813385,0.411841332912445,1
62,4e-05,1,0.3873140811920166,0.8281618356704712,0.7660413384437561,0.180259495973587,0.3056156635284424,1
63,4e-05,1,0.4275352954864502,0.8380048274993896,0.7695027589797974,0.22182497382164,0.3533805608749389,1
64,4e-05,1,0.411604106426239,0.8377187848091125,0.7742933034896851,0.2090585231781005,0.3333363533020019,1
65,4e-05,1,0.4554176926612854,0.832328200340271,0.7616040110588074,0.2380613684654235,0.3502466678619385,1
66,4e-05,1,0.4183949828147888,0.8363311290740967,0.7705547213554382,0.213108092546463,0.3409685492515564,1
67,4e-05,1,0.3839398622512817,0.8254586458206177,0.7524533271789551,0.1747952401638031,0.2633184790611267,1
68,4e-05,1,0.4353484630584717,0.8180304527282715,0.7778351902961731,0.2080353051424026,0.3612377941608429,1
69,4e-05,1,0.3934545814990997,0.8142680525779724,0.7508223056793213,0.1712652295827865,0.2822497189044952,1
70,4e-05,1,0.4132230498573996,0.8031513799320568,0.7558001279830933,0.1758318855003877,0.2999934554100036,1
71,4e-05,1,0.3714227080345154,0.8277477820714315,0.7661651968955994,0.1665704324841499,0.2421870529651641,1
72,4e-05,1,0.4175785723186674,0.7994102722122556,0.7676645517349243,0.1748438392366681,0.2542740106582641,1
