Epoch,D LR,G LR
448,4e-05,0.0001
449,4e-05,0.0001
450,4e-05,9.999915288771706e-05
451,4e-05,9.999661158276151e-05
452,4e-05,9.999237618081205e-05
453,4e-05,9.998644684132918e-05
454,4e-05,9.99788237875492e-05
455,4e-05,9.996950730647574e-05
456,4e-05,9.995849774886905e-05
457,4e-05,9.994579552923276e-05
458,4e-05,9.993140112579827e-05
459,4e-05,9.991531508050671e-05
460,4e-05,9.989753799898863e-05
461,4e-05,9.987807055054106e-05
462,4e-05,9.985691346810246e-05
463,4e-05,9.983406754822501e-05
464,4e-05,9.980953365104469e-05
465,4e-05,9.978331270024886e-05
466,4e-05,9.97554056830415e-05
467,4e-05,9.972581365010603e-05
468,4e-05,9.969453771556576e-05
469,4e-05,9.966157905694196e-05
470,4e-05,9.962693891510948e-05
471,4e-05,9.95906185942501e-05
472,4e-05,9.955261946180338e-05
473,4e-05,9.951294294841516e-05
474,4e-05,9.947159054788373e-05
475,4e-05,9.942856381710364e-05
476,4e-05,9.938386437600695e-05
477,4e-05,9.933749390750235e-05
478,4e-05,9.928945415741181e-05
479,4e-05,9.923974693440474e-05
480,4e-05,9.918837410992999e-05
481,4e-05,9.913533761814537e-05
482,4e-05,9.908063945584482e-05
483,4e-05,9.902428168238325e-05
484,4e-05,9.896626641959895e-05
485,4e-05,9.890659585173379e-05
486,4e-05,9.884527222535091e-05
487,4e-05,9.878229784925022e-05
488,4e-05,9.871767509438133e-05
489,4e-05,9.865140639375449e-05
490,4e-05,9.858349424234878e-05
491,4e-05,9.851394119701835e-05
492,4e-05,9.844274987639602e-05
493,4e-05,9.83699229607948e-05
494,4e-05,9.829546319210688e-05
495,4e-05,9.821937337370046e-05
496,4e-05,9.814165637031423e-05
497,4e-05,9.80623151079494e-05
498,4e-05,9.79813525737597e-05
499,4e-05,9.789877181593872e-05
500,4e-05,9.781457594360538e-05
501,4e-05,9.772876812668666e-05
502,4e-05,9.764135159579836e-05
503,4e-05,9.755232964212346e-05
504,4e-05,9.746170561728821e-05
505,4e-05,9.736948293323593e-05
506,4e-05,9.727566506209855e-05
507,4e-05,9.718025553606589e-05
508,4e-05,9.708325794725265e-05
509,4e-05,9.698467594756325e-05
510,4e-05,9.688451324855427e-05
511,4e-05,9.67827736212947e-05
512,4e-05,9.667946089622402e-05
513,4e-05,9.657457896300791e-05
514,4e-05,9.646813177039189e-05
515,4e-05,9.636012332605261e-05
516,4e-05,9.625055769644692e-05
517,4e-05,9.613943900665889e-05
518,4e-05,9.602677144024436e-05
519,4e-05,9.59125592390735e-05
520,4e-05,9.57968067031712e-05
521,4e-05,9.567951819055496e-05
522,4e-05,9.5560698117071e-05
523,4e-05,9.544035095622793e-05
524,4e-05,9.531848123902833e-05
525,4e-05,9.519509355379818e-05
526,4e-05,9.507019254601411e-05
527,4e-05,9.494378291812844e-05
528,4e-05,9.481586942939222e-05
529,4e-05,9.468645689567598e-05
530,4e-05,9.455555018928852e-05
531,4e-05,9.44231542387933e-05
532,4e-05,9.428927402882305e-05
533,4e-05,9.415391459989201e-05
534,4e-05,9.401708104820617e-05
535,4e-05,9.387877852547141e-05
536,4e-05,9.373901223869953e-05
537,4e-05,9.359778745001225e-05
538,4e-05,9.345510947644303e-05
539,4e-05,9.331098368973694e-05
540,4e-05,9.316541551614838e-05
541,4e-05,9.301841043623682e-05
542,4e-05,9.286997398466043e-05
543,4e-05,9.272011174996771e-05
544,4e-05,9.25688293743871e-05
545,4e-05,9.241613255361455e-05
546,4e-05,9.226202703659901e-05
547,4e-05,9.210651862532614e-05
548,4e-05,9.194961317459971e-05
549,4e-05,9.179131659182127e-05
550,4e-05,9.163163483676769e-05
551,4e-05,9.147057392136677e-05
552,4e-05,9.130813990947097e-05
553,4e-05,9.114433891662902e-05
554,4e-05,9.097917710985574e-05
555,4e-05,9.081266070739976e-05
556,4e-05,9.064479597850957e-05
557,4e-05,9.047558924319729e-05
558,4e-05,9.030504687200089e-05
559,4e-05,9.013317528574425e-05
560,4e-05,8.995998095529547e-05
561,4e-05,8.978547040132317e-05
562,4e-05,8.96096501940511e-05
563,4e-05,8.943252695301067e-05
564,4e-05,8.925410734679178e-05
565,4e-05,8.907439809279181e-05
566,4e-05,8.889340595696256e-05
567,4e-05,8.871113775355567e-05
568,4e-05,8.852760034486598e-05
569,4e-05,8.834280064097317e-05
570,4e-05,8.815674559948164e-05
571,4e-05,8.796944222525858e-05
572,4e-05,8.778089757017013e-05
573,4e-05,8.759111873281603e-05
574,4e-05,8.740011285826217e-05
575,4e-05,8.720788713777185e-05
576,4e-05,8.701444880853473e-05
577,4e-05,8.681980515339464e-05
578,4e-05,8.662396350057514e-05
579,4e-05,8.642693122340378e-05
580,4e-05,8.622871574003444e-05
581,4e-05,8.602932451316802e-05
582,4e-05,8.582876504977152e-05
583,4e-05,8.562704490079539e-05
584,4e-05,8.542417166088923e-05
585,4e-05,8.522015296811584e-05
586,4e-05,8.50149965036637e-05
587,4e-05,8.480870999155774e-05
588,4e-05,8.460130119836855e-05
589,4e-05,8.439277793291995e-05
590,4e-05,8.418314804599506e-05
591,4e-05,8.397241943004061e-05
592,4e-05,8.376060001886991e-05
593,4e-05,8.354769778736406e-05
594,4e-05,8.333372075117173e-05
595,4e-05,8.311867696640738e-05
596,4e-05,8.290257452934802e-05
597,4e-05,8.26854215761282e-05
598,4e-05,8.246722628243393e-05
599,4e-05,8.224799686319465e-05
600,4e-05,8.202774157227411e-05
601,4e-05,8.18064687021595e-05
602,4e-05,8.158418658364935e-05
603,4e-05,8.136090358553976e-05
604,4e-05,8.11366281143094e-05
605,4e-05,8.091136861380305e-05
606,4e-05,8.068513356491354e-05
607,4e-05,8.04579314852626e-05
608,4e-05,8.022977092888014e-05
609,4e-05,8.00006604858821e-05
610,4e-05,7.977060878214721e-05
611,4e-05,7.953962447899209e-05
612,4e-05,7.930771627284519e-05
613,4e-05,7.907489289491939e-05
614,4e-05,7.884116311088328e-05
615,4e-05,7.86065357205311e-05
616,4e-05,7.837101955745154e-05
617,4e-05,7.813462348869498e-05
618,4e-05,7.789735641443982e-05
619,4e-05,7.76592272676573e-05
620,4e-05,7.742024501377519e-05
621,4e-05,7.71804186503403e-05
622,4e-05,7.693975720667962e-05
623,4e-05,7.669826974356054e-05
624,4e-05,7.645596535284951e-05
625,4e-05,7.62128531571699e-05
626,4e-05,7.596894230955848e-05
627,4e-05,7.57242419931208e-05
628,4e-05,7.547876142068548e-05
629,4e-05,7.52325098344573e-05
630,4e-05,7.498549650566932e-05
