Case,Hs,Tp,Theta,Seed,a_x,b_x,c_x,a_y,b_y,c_y
1,1,3,20,1,-3.485439192647494,-0.0051035331476416874,0.016626586840802142,-3.4464623182825926,-0.00282215153784246,0.015721784635276636
2,1,3,20,2,-3.658064741223999,-0.001110487593245276,0.023406827329820298,-3.5229988156673793,0.0038445319660617115,0.020721228777227835
3,1,3,20,3,-3.5493457095526932,-0.007792270859591367,0.01944480877493524,-3.5967032859631454,-0.011713241476464673,0.017649676461640923
4,1,3,20,4,-3.5031162765203225,-0.0026521487051419795,0.01879812360209166,-3.4660504634403817,-0.000325594044614904,0.01792140253306392
5,1,3,20,5,-3.5867158479940953,-0.0012915428139198444,0.02270753915802963,-3.510448850456,0.00179974630356328,0.020878935594698934
6,1,3,20,6,-3.4963062174677604,-0.002503436700544967,0.02055218200202423,-3.4694772729617167,-0.00455725749754806,0.017207647120899713
7,1,3,20,7,-3.5751666611549315,-0.0014857535325837508,0.01871427313880364,-3.4846510519123495,0.002133753084550348,0.016815874115995444
8,1,3,20,8,-3.4679184406169505,-0.0049724003984014855,0.016510438186949,-3.4442901049122296,-0.0016052813059071226,0.01608033139847579
9,1,3,20,9,-3.5018513137453926,-0.004721889590702782,0.019973226249105587,-3.4850943052585666,-0.008661029261328796,0.017865100767560975
10,1,3,20,10,-3.531361923938155,0.0010123558124744171,0.021117199647208644,-3.4843973642134407,-0.0021094299585205714,0.017846067266195673
11,1,3,20,11,-3.6678104162717338,-0.012293060426894958,0.018102079988459478,-3.5724606921953117,-0.006885906157730357,0.01740343599376715
12,1,3,20,12,-3.5360987139156403,-0.005664406064820354,0.019546708063535728,-3.4874334219860597,-0.00707463655991987,0.015821432047506957
13,1,3,20,13,-3.662738209502409,-0.0105307416158303,0.022216501525841943,-3.5430770984289497,-0.004789598588832872,0.019524662883924675
14,1,3,20,14,-3.469111541137216,-0.0001212216882345192,0.01936162703762673,-3.4595870643111306,-0.002628112230265798,0.016867548845073115
15,1,3,20,15,-3.634796435185982,-0.006721711309657975,0.018063843171253886,-3.4969892438858543,-0.002243234997061543,0.01668865346424562
16,1,3,20,16,-3.536135049980046,-0.006385972192660273,0.01666442934184446,-3.466000469195934,-0.004678492101532069,0.014361999577024172
17,1,3,20,17,-3.48368812293565,-0.0007617877826535738,0.019942306857520905,-3.440186802044011,-0.0005103733519518164,0.018193346600616375
18,1,3,20,18,-3.586843997252894,-0.0023467834304414896,0.018618718095787846,-3.5816544219868724,-0.0010477048638083547,0.017075075760647266
19,1,3,20,19,-3.6612479064018673,-0.011297075129527911,0.01793261163842161,-3.492812634359527,-0.005546244055586579,0.016162186019027355
20,1,3,20,20,-3.49308297801013,-0.002460175908972368,0.018221991034260792,-3.4572278189218513,-0.0017298130936438776,0.016573172958075456
21,1,3,20,21,-3.4588183059018363,-0.0008978031525185351,0.017844321857469668,-3.451672827857647,-0.00380661826230173,0.016318596063325298
22,1,3,20,22,-3.4480691645356676,0.0013658902134623258,0.020302548660552335,-3.4419646150428442,0.0025155909507823364,0.01797634513300126
23,1,3,20,23,-3.497441366879389,3.874114332689041e-05,0.01822383732188121,-3.460586987645462,-0.0001619800297422893,0.01578608205941677
24,1,3,20,24,-3.5166365018633123,-0.0017269755712329866,0.020822368924794384,-3.4872889418185373,-0.004803937160379225,0.016850479123736564
25,1,3,20,25,-3.535046952166789,-0.007117452264911329,0.017210696630872192,-3.45158453243483,-0.0028295765719698763,0.015455418840995114
26,1,3,20,26,-3.5826714999348277,-0.00480028181299804,0.020021189353248717,-3.47965404664414,-0.003305048037843851,0.01679617754463639
27,1,3,20,27,-3.4678897272907667,-0.0008702116892927263,0.018332072359296004,-3.4537143014726506,-0.0022180154285742527,0.016037925110320504
28,1,3,20,28,-3.6262482063286035,-0.007366134354134829,0.018206772206144427,-3.4685559530118413,-0.0018544291234970575,0.01635860056832765
29,1,3,20,29,-3.6504811901252427,-0.00886441784594671,0.017814877767027802,-3.4926831973815107,-0.0023961328307650926,0.016060463744962658
30,1,3,20,30,-3.4818819171764717,-0.0020101808123644226,0.018912438515901454,-3.435047601799228,-0.00012166479229602442,0.017836320311027717
31,1,3,20,31,-3.4580486041907084,0.0017105648232106363,0.021748139172140746,-3.4380634489889492,0.00205868388914969,0.018022270989128612
32,1,3,20,32,-3.521867141289837,-0.00025437096715507854,0.018949926046276926,-3.549233057674499,-0.0020837692224095275,0.017735414949191917
33,1,3,20,33,-3.5882060545431784,0.004110089321353167,0.022910465644703285,-3.5524023455599987,0.0016467439148744878,0.019793933334009785
34,1,3,20,34,-3.5920630582468336,-0.006166693233398236,0.016663848952250194,-3.5017717412520275,-0.0034665391143960077,0.01567249020131773
35,1,3,20,35,-3.4613198170556214,-0.0025900699914853526,0.018677325369597753,-3.4542836151224265,-0.00585657308013828,0.01575881001982674
36,1,3,20,36,-3.5872383989129086,-0.00611395076222368,0.019725483445695427,-3.654476376425683,-0.009397861994791416,0.01753207613464982
37,1,3,20,37,-3.478450968285896,0.0013256846392052067,0.02043893868362541,-3.4713742294418672,0.003829193800809764,0.01907915117820147
38,1,3,20,38,-3.4901863173059997,-0.0012727395208977192,0.01938782119349692,-3.459632028059227,-0.0016076593274943936,0.01692626046715636
39,1,3,20,39,-3.7026355054872204,-0.01482974842275583,0.021335917261899574,-3.605134780211363,-0.01164065872604814,0.019072883784905948
